x,y,z,vector_magnitude
101.732,-42.7673,-105.926,152.967
101.838,-42.6406,-106.07,153.101
101.822,-42.7009,-106.214,153.207
101.816,-42.722,-106.285,153.259
101.834,-42.7111,-106.082,153.127
101.897,-42.7008,-106.047,153.141
101.875,-42.7241,-106.08,153.157
101.845,-42.7499,-106.101,153.158
101.789,-42.7207,-106.071,153.092
101.862,-42.5963,-106.142,153.155
101.884,-42.599,-106.062,153.115
101.951,-42.5571,-106.028,153.125
101.909,-42.553,-106.06,153.118
101.927,-42.5801,-106.17,153.213
101.983,-42.5605,-106.126,153.215
102.022,-42.5584,-106.096,153.219
102.069,-42.5065,-106.022,153.185
102.062,-42.4769,-106.14,153.253
101.991,-42.5014,-106.197,153.253
101.898,-42.5953,-106.081,153.136
101.803,-42.6175,-106.09,153.086
101.906,-42.5809,-106.013,153.09
101.791,-42.7494,-106.097,153.119
101.896,-42.8104,-106.173,153.259
101.851,-42.799,-106.068,153.153
101.911,-42.6689,-106.173,153.229
101.881,-42.5975,-106.059,153.111
101.993,-42.6175,-106.203,153.29
102.095,-42.6181,-106.022,153.234
102.019,-42.5188,-106.036,153.164
102.129,-42.576,-105.996,153.226
102.185,-42.5502,-106.128,153.347
102.188,-42.3514,-105.996,153.203
102.331,-42.3071,-105.783,153.139
102.241,-42.3873,-105.836,153.138
102.167,-42.6179,-105.896,153.194
102.119,-42.6514,-105.989,153.235
102.084,-42.7072,-105.962,153.209
102.043,-42.6476,-105.957,153.162
102.025,-42.5331,-105.841,153.038
102.017,-42.5168,-105.798,152.998
102.048,-42.482,-105.923,153.095
102.203,-42.5829,-105.893,153.206
102.355,-42.4016,-105.985,153.321
102.324,-42.3907,-106.124,153.393
102.324,-42.3907,-106.124,153.393
102.324,-42.3907,-106.124,153.393
102.324,-42.3907,-106.124,153.393
102.324,-42.3907,-106.124,153.393
102.39,-42.3509,-105.983,153.329
102.39,-42.3509,-105.983,153.329
102.39,-42.3509,-105.983,153.329
102.39,-42.3509,-105.983,153.329
102.39,-42.3509,-105.983,153.329
102.39,-42.3509,-105.983,153.329
102.38,-42.3317,-105.928,153.278
102.253,-42.3134,-106.056,153.278
102.158,-42.5191,-105.954,153.201
102.048,-42.6651,-106.078,153.253
102.08,-42.6362,-106.055,153.251
102.141,-42.6057,-106.025,153.262
102.296,-42.5418,-105.85,153.227
102.188,-42.5311,-105.959,153.227
102.108,-42.5385,-105.916,153.147
102.128,-42.5646,-105.921,153.17
101.972,-42.6213,-106.032,153.159
102.072,-42.5971,-105.926,153.145
102.113,-42.5884,-106.071,153.271
102.182,-42.6747,-106.038,153.318
101.996,-42.6925,-106.121,153.256
102.036,-42.7602,-105.995,153.215
